标题	详情
何来荣耀	我也不晓得王者荣耀是个什么jer垃圾东西游戏，里面的人都是些什么心态，顺风浪输了骂举报又没有用，反而人家举报你什么演员马上就被扣信用分，每次在逆风局那边真的很累叫队友不要送了他还要骂你，我真的希望王者出一个就算是输了那边的mvp也不要掉星。真的很没意思啊王者荣耀这个机制只要你连续赢了几局之后你遇到的人就肯定会有挂机的送人头的，真的搞不懂明明自己实力什么的都没有问题为什么老是要这样搞我们玩家？当初下载王者荣耀就是因为他有英雄联盟的影子，现在王者怎么越做越垃圾了真的希望好好处理这些玩家好好做好游戏。也不晓得这个游戏到底该怎么玩啊，给我支支招吧，我好累。赛季初好不容易打上去了结果星耀- -晋级赛输了就连股一直到星耀四，就没想玩了，之后朋友说赛季要结束了就想着再试试玩，然后一天从星耀四上来了又是星耀一了，然后输了一局之后就又开始跪了，真的是不晓得该说什么了，明演的，说练英雄的，抢位置乱选的什么都有什么也都遇到过了，开始对这个游戏块没有信心了，不晓得该怎么去说，可是我真的很想赢啊想上一次王者啊可真累啊
黄金局的云云：	我是一 个普通的黄金，我希望自己打上分，然而每次我赢了一局就会匹配到一堆小号，大号都是星耀王者的。我方都是纯正的傻白甜黄金。 被打得连泉水也出不了 体验太差了
IphoneXR没法设置优先攻击英雄！	IphoneXR没法设置优先攻击英雄！IphoneXR没法设置优先攻击英雄！IphoneXR没法设置优先攻击英雄！IphoneXR没法设置优先攻击英雄！IphoneXR没法设置优先攻击英雄！IphoneXR没法设置优先攻击英雄！
我觉得自己输了就不要怪腾讯	首先，别人做一个游戏挺不容易的，你要玩，输了，怪不了腾讯，是你自己垃圾，说别人素质低，的确，但是，能不能看看自己的发表语言？还有，谁做一个游戏就是十全十美，天美应该每天都在为游戏的各种形式，玩法和漏动进行更换和改善，我说这些就是看不惯有些人，自己辣鸡还要说别人，你辣鸡，不可以多练练嘛？有事没事净找茬，我也挺辣鸡的，为啥我不举报？嗯？脾气不好还玩那你还不如不玩，真是的，气得我，希望大家可以收一下自己的脾气，谢谢??
快对王者失望到极点。	星耀局，有开局上单抢打野野的吗？一群不知道几岁的人在玩，elo系统能正常点吗，持续一周遇到菜，还有，有对苹果六这么不待见的吗，玩着玩着闪退，重连还闪退，连吃鸡模式都玩不了，还有日之塔，能优化一下吗？
真次	受不了了，都是见钱眼开
腊鸡游戏	垃圾游戏毁国人 毁青年的儿童游戏
垃圾	能不给分的话，我真的一分也不想给，匹配机制垃圾，举报系统垃圾，游戏环境更垃圾，别说看看英雄联盟，你游真的是我玩过觉得最恶心的游戏，
不信玩过就知道了，耽误很多事，有志向的人最好别玩了	想亲身经历可以去感受下，只能说最好少玩游戏，这游戏也不适合人去玩。
我觉得这游戏有毒	"我堂堂当年一个市服第三露娜，打到星耀二时我不知道怎么回事，我一打排位用露娜就卡，卡到一点游戏体验都没有，连输五局排位，你们可能觉得还好，但我就从市服掉到第92了，而且卡完我用其他英雄又不卡了，再玩露娜有卡起来，好几次我都投诉上去都说是网络问题，但出现5次（这是第六次）这不科学。两颗星表示我原先从中获得了快乐，但希望腾讯不会有什么故意之类的。
总之我现在累了，也放弃了"
人心的黑暗，要给个差评	游戏相信大家都有同样的感受，这个平台唯一的优点就是让人看到了人心的黑暗，看清楚了这个社会上形形色色各种各样的人。从而把良知摸得干干净净，游戏本身就是仿制的，made in 腾讯
积分	积分制度不合理，莫名被举报扣分，无法申诉，果断卸载不玩了！
我的账号是有毒么？！	郑重的问一句我的账号是有毒么？别人都是十几连胜  我运气不好没话说 不过至于吗！打一局输两局？？？！！！真是要逼我这个人民币玩家删游戏是吧！( ′? ??')
王者不好玩哈哈哈哈哈哈哈	老破卡啊动都不能动不好玩啊！??
你能看一下2280305715的战绩么	在总是MVP还上不去我就自杀 看你们有没有责任
想说说李白的问题	"真心，李白之前厉害的很，你看看现在的李白，后期基本上全崩，刷大问题，你那破加强让李白简单了很多，但伤害……
真恶心，我这么爱玩李白的人，现在几乎不敢玩了"
我想要v7	v7一开局就挂机扣信誉分14，我打了一会断网了挂机扣了16分，我也想要v7！
五星让开发者or天美的看到	不知道为什么 这个游戏里的永恒钻石就真的是永恒了 每次我要升段 系统就会故意给我匹配很fw的队友 我败方mvp。而且队友0/6、0/7这种大多数时候还举报不成功？！我真的是不知道说什么好??一句麻麦披送给系统。求你们了 我不要你给我匹配很厉害厉害的那种 就给我匹配几个跟我水平一样的就可以了。玩的跟我水平差不多的一个朋友已经王者了，然而我还在永恒、我永恒你??
辣鸡王者	王者虽然是一款非常好玩的游戏，都是每次想升段位的时候就让我退的要被气死，然后匹配到的都是什么辣鸡队友，不充钱就让我输，不充钱就没有什么好东西给我们这些没钱的，真是无语??
跳不过的新手教程	我换个号玩不行吗？非要弄个新手教程还跳不过去。浪费几分钟在上面脑子有坑吧
垃圾举报系统	能再垃圾点吗，别人集体出去送反倒举报我？？？我TM还举报成功了，垃圾，一颗心都不想给............
千万不要下载	"这是个世界级没素质的游戏。管理垃圾 不要下载 我以前花钱就当喂狗了

花钱喂狗了 这种游戏只会坑你钱 各种没素质。垃圾游戏匹配不合理 有时候人不够电脑给你凑数 举报乱扣分 各种不合理 钱不要冲 冲了就是喂勾了。相信你们会后悔如果不听劝。"
这个游戏太作弊	想必总玩的都知道 要么连胜 要么连输 有很多时候 给你匹配的都是人机 估计拖后腿 有的时候给你匹配的对手也可能是人机 很厉害 控制你连赢 或者让你连输 我都勉强能理解 为什么我明明很认真的玩 经济也不差 还会被投诉 投诉也罢 可能哪个玩家看我不爽 就投诉我了 最可气的 我没不认真玩游戏 我也没骂人 我也没故意送人头 系统竟然能让他们投诉我成功 作为一个玩了5年的玩家 我始终不理解这种方式的游戏 所以我选择卸载 当然像骚白这样的大玩家 没什么能阻挡他 我这种小白 只能默默卸载了
玩得很心塞啊	最讨厌的就是那种你自己又菜，还说别人不行，各种语言攻击，我一个脆皮辅助还指望我来带飞，自己技术不行，就说是我没有保护好。真的是很心累啊……
果断删除	对这游戏真的无语，队友不看阵容乱选英雄、没前排打不过死多了就被举报，还一定准，我就纳闷了，一，我没挂机，二，没前排我打个战士冲前面死了还举报我？还扣分？三，是我的问题吗？选到后面的都不玩肉都玩法师，团战都不上，我被群殴你没死，完了就举报我？真的玩不下去了，删除
希望制作团队能看见	"为什么总在验证我是否成年？
很烦啊……不验证就只有一个小时的游戏时间"
垃圾游戏	简直sb，tm打一把对面疯狂嘲讽结算点太快没来得及举报，后面就没法举报了简直sb，策划nmsl
删不了，下不了	我明明在界面上把王者荣耀给删了，回到应用打算重新下，结果应用上显示下载了的，却又打不开，王者荣耀占的内存实在太多了，删除了，还下不了
没有客服的游戏	玩过之后你会发现腾讯的游戏是找不到客服的。万般苦水你只能自己往肚子咽。友情提示大家不要充值哈。
什么也荣耀自走棋模式？	期待出自走棋模式，我敢保证王者荣耀会再次荣耀，因为我们很多人都相当的熟悉当中的英雄以及它们的属性。
匹配到的全是垃圾队友，每局都输，没一次赢。	全是垃圾队友，全都不会玩，每局都输，怀疑全是机器人，就没赢过，垃圾游戏还不给举报
良心游戏	"我玩这个游戏差不多一年了，觉得并没有一些评论说得那么差。我是V3珀金玩家，一天一把排位赛，几乎没有遇到喷子演员。遇到了屏避就好了。 
那些喷游戏机制的人技术好吗？我路人局有挂机的时候4打5也是打得过的好吗！"
天美问候你母亲	匹配机制有问题呢？给我匹配崽种呢？还不能让骂，天美全家死透了？
一拳王者	???这是一个真正对你有用的评论??偶然中发现了一个诚信的平台<? ? ① ② ⑦点.C ?>??不需要任何投入?? 就能每天拿到百来块。??童叟无欺，大家可以去试一试绝对的真实！我们所追求的梦想也想我不喜欢我了这些年都没有任何一个人能够为自己??改变的生活中部分繁琐襙作的同时添加了大量独特的要素，使得游戏有了截然不同的新面貌，无论是老手还是新进玩家，都可以在此体验奇幻的战斗乐趣并感受田园般的生活气息，游戏中的走位，技能的释放有很强的襙作感，加之一些新的系统比如马匹的繁殖和养成，狩魂特技的类型和升级，总体感觉还是很不错哦！人物好感度的培养和协同出战，都成了让玩家积极探索发掘的游戏动力.这是一款最好口碑的品牌形象的品牌和产品创新能力强.感谢游戏给我生活带来快乐和放松.这是为什么给四星的原因，还有希望能把金币的获得放开一点，在没有更新到最新版本之前，无非是需要技术高一些，但是在最新版本里直接大幅削减了战胜得到的金币数和限制了可用金币购买的卡包次数，以前不限量，现在两天都买不了一包，意图太明显了，真的B得人不氪金没法玩了，不光是装备的获取难度瞬间上升以至于游戏体验很差没有办法慢慢增加实力，并且动作系统问题更大，希望充值要素不会扰乱游戏平衡性，玩家们一定会乐意给如此好玩的精品游戏可能上出于研发经费或者客户端的考虑？你得给襙作不好的玩家一个途径来提升战力吧，希望能添加更多新的内容吧！目前对游戏的整体素质非常满意，遇到一款难得的好游戏，除了感动还必须向制作组的工作人员们致敬这一部画面的升级是我最满意的，有很多玩家说到氪金的问题，但是并不是一定要氪金才能玩下去的，这一部我一分钱没充，自己决斗打出的两个传说保箱和七个史诗宝箱，其实你只要在决斗里打出或者完美那么爆出这些宝箱的概率大大增加，而且决斗只是和一个数据体对战已经降低难度了，不是真人襙控.虽然很小的事情，但是细节决定成败.这些是我们所追求梦想追求理想的人就可以去做一件事情了？但是跟其他的游戏不一样的大概就是这个游戏里充满的都是情谊，每天跟朋友们姐妹们一起相宜
